x,c_err,q_err
7.027402e+05,0.000000e+00,1.685388e-03
9.465079e+05,1.132589e-07,6.968818e-04
6.257736e+05,0.000000e+00,1.533965e-03
1.900798e+05,1.015098e-07,1.193451e-03
9.157181e+05,0.000000e+00,1.566305e-04
6.441973e+04,0.000000e+00,1.675103e-03
9.560669e+05,0.000000e+00,9.602645e-04
5.805755e+05,0.000000e+00,1.016717e-03
5.250452e+05,0.000000e+00,2.586310e-04
4.240864e+05,0.000000e+00,1.602208e-03
7.737355e+05,0.000000e+00,1.032003e-03
6.253688e+05,0.000000e+00,1.530523e-03
8.622152e+05,0.000000e+00,6.712891e-05
1.696428e+05,0.000000e+00,1.748693e-03
6.316645e+05,0.000000e+00,1.581324e-03
7.580714e+05,1.013597e-07,1.219458e-03
7.469903e+05,0.000000e+00,1.341112e-03
3.498484e+05,6.885732e-08,5.787458e-04
6.460624e+05,0.000000e+00,1.673260e-03
8.521428e+05,0.000000e+00,1.342236e-04
5.826673e+05,0.000000e+00,1.045205e-03
7.995158e+05,0.000000e+00,7.050254e-04
5.839155e+05,8.895803e-08,1.062159e-03
2.292795e+05,1.114866e-07,1.719124e-04
4.184176e+05,0.000000e+00,1.592895e-03
1.406997e+05,8.733468e-08,7.660998e-04
3.259396e+05,0.000000e+00,1.371792e-04
8.978790e+05,0.000000e+00,2.625403e-05
4.114407e+05,0.000000e+00,1.562608e-03
1.596315e+05,0.000000e+00,1.629518e-03
2.820929e+05,0.000000e+00,4.530357e-04
1.141808e+05,0.000000e+00,1.401831e-03
1.061394e+05,7.585401e-08,1.602340e-03
9.078666e+05,0.000000e+00,8.463416e-05
3.042606e+05,6.421449e-08,8.219455e-06
2.185750e+04,0.000000e+00,5.760234e-04
9.722862e+05,0.000000e+00,1.526374e-03
2.603275e+05,0.000000e+00,1.682976e-03
6.024330e+05,0.000000e+00,1.296450e-03
4.973314e+05,0.000000e+00,7.251725e-04
6.844139e+05,0.000000e+00,1.742433e-03
3.761686e+05,0.000000e+00,1.117204e-03
1.227002e+05,0.000000e+00,8.490114e-04
5.466291e+05,0.000000e+00,5.364801e-04
5.458114e+05,0.000000e+00,5.251559e-04
